,query_number_q_07,query_number_q_08,query_number_q_09,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
224,0,0,1,6,2,0,1
225,0,0,1,6,2,1,0
226,0,0,1,6,3,0,1
227,0,0,1,6,3,1,0
228,0,0,1,2,5,0,1
229,0,0,1,6,4,0,1
230,0,0,1,6,4,1,0
231,0,0,1,6,5,0,1
232,0,0,1,6,5,1,0
233,0,0,1,6,6,0,1
234,0,0,1,6,6,1,0
235,0,0,1,6,7,0,1
236,0,0,1,6,7,1,0
237,0,0,1,6,8,0,1
238,0,0,1,6,8,1,0
239,0,0,1,2,5,1,0
240,0,0,1,7,2,0,1
241,0,0,1,7,2,1,0
242,0,0,1,7,3,0,1
243,0,0,1,7,3,1,0
244,0,0,1,7,4,0,1
245,0,0,1,7,4,1,0
246,0,0,1,7,5,0,1
247,0,0,1,7,5,1,0
248,0,0,1,7,6,0,1
249,0,0,1,7,6,1,0
250,0,0,1,2,6,0,1
251,0,0,1,7,7,0,1
252,0,0,1,7,7,1,0
253,0,0,1,7,8,0,1
254,0,0,1,7,8,1,0
255,0,0,1,8,2,0,1
256,0,0,1,8,2,1,0
257,0,0,1,2,6,1,0
