,query_number_q_01,query_number_q_02,query_number_q_03,query_number_q_04,query_number_q_05,query_number_q_06,query_number_q_07,query_number_q_08,query_number_q_09,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
109,0,0,0,1,0,0,0,0,0,2,7,1,0
110,0,0,0,1,0,0,0,0,0,2,8,0,1
111,0,0,0,1,0,0,0,0,0,2,8,1,0
112,0,0,0,1,0,0,0,0,0,3,2,0,1
113,0,0,0,1,0,0,0,0,0,3,2,1,0
114,0,0,0,1,0,0,0,0,0,3,3,0,1
115,0,0,0,1,0,0,0,0,0,3,3,1,0
116,0,0,0,1,0,0,0,0,0,3,4,0,1
117,0,0,0,1,0,0,0,0,0,3,4,1,0
118,0,0,0,1,0,0,0,0,0,2,3,0,1
119,0,0,0,1,0,0,0,0,0,3,5,0,1
120,0,0,0,1,0,0,0,0,0,3,5,1,0
121,0,0,0,1,0,0,0,0,0,3,6,0,1
122,0,0,0,1,0,0,0,0,0,3,6,1,0
123,0,0,0,1,0,0,0,0,0,3,7,0,1
124,0,0,0,1,0,0,0,0,0,3,7,1,0
125,0,0,0,1,0,0,0,0,0,3,8,0,1
126,0,0,0,1,0,0,0,0,0,3,8,1,0
127,0,0,0,1,0,0,0,0,0,4,2,0,1
128,0,0,0,1,0,0,0,0,0,4,2,1,0
129,0,0,0,1,0,0,0,0,0,2,3,1,0
130,0,0,0,1,0,0,0,0,0,4,3,0,1
131,0,0,0,1,0,0,0,0,0,4,3,1,0
132,0,0,0,1,0,0,0,0,0,4,4,0,1
133,0,0,0,1,0,0,0,0,0,4,4,1,0
134,0,0,0,1,0,0,0,0,0,4,5,0,1
135,0,0,0,1,0,0,0,0,0,4,5,1,0
136,0,0,0,1,0,0,0,0,0,2,4,0,1
137,0,0,0,1,0,0,0,0,0,2,4,1,0
138,0,0,0,1,0,0,0,0,0,2,5,0,1
139,0,0,0,1,0,0,0,0,0,2,5,1,0
140,0,0,0,1,0,0,0,0,0,2,6,0,1
141,0,0,0,0,1,0,0,0,0,2,2,0,1
142,0,0,0,0,1,0,0,0,0,2,2,1,0
143,0,0,0,0,1,0,0,0,0,2,7,0,1
144,0,0,0,0,1,0,0,0,0,2,7,1,0
145,0,0,0,0,1,0,0,0,0,2,8,0,1
146,0,0,0,0,1,0,0,0,0,2,8,1,0
147,0,0,0,0,1,0,0,0,0,3,2,0,1
148,0,0,0,0,1,0,0,0,0,3,2,1,0
149,0,0,0,0,1,0,0,0,0,3,3,0,1
150,0,0,0,0,1,0,0,0,0,3,3,1,0
151,0,0,0,0,1,0,0,0,0,3,4,0,1
152,0,0,0,0,1,0,0,0,0,3,4,1,0
153,0,0,0,0,1,0,0,0,0,2,3,0,1
154,0,0,0,0,1,0,0,0,0,3,5,0,1
155,0,0,0,0,1,0,0,0,0,3,5,1,0
156,0,0,0,0,1,0,0,0,0,3,6,0,1
157,0,0,0,0,1,0,0,0,0,3,6,1,0
158,0,0,0,0,1,0,0,0,0,3,7,0,1
159,0,0,0,0,1,0,0,0,0,3,7,1,0
160,0,0,0,0,1,0,0,0,0,3,8,0,1
161,0,0,0,0,1,0,0,0,0,3,8,1,0
162,0,0,0,0,1,0,0,0,0,4,2,0,1
163,0,0,0,0,1,0,0,0,0,4,2,1,0
164,0,0,0,0,1,0,0,0,0,2,3,1,0
165,0,0,0,0,1,0,0,0,0,4,3,0,1
166,0,0,0,0,1,0,0,0,0,4,3,1,0
167,0,0,0,0,1,0,0,0,0,4,4,0,1
168,0,0,0,0,1,0,0,0,0,4,4,1,0
169,0,0,0,0,1,0,0,0,0,4,5,0,1
170,0,0,0,0,1,0,0,0,0,4,5,1,0
171,0,0,0,0,1,0,0,0,0,2,4,0,1
172,0,0,0,0,1,0,0,0,0,2,4,1,0
173,0,0,0,0,1,0,0,0,0,2,5,0,1
174,0,0,0,0,1,0,0,0,0,2,5,1,0
175,0,0,0,0,1,0,0,0,0,2,6,0,1
176,0,0,0,0,0,1,0,0,0,2,2,0,1
177,0,0,0,0,0,1,0,0,0,2,2,1,0
178,0,0,0,0,0,1,0,0,0,2,7,0,1
179,0,0,0,0,0,1,0,0,0,2,7,1,0
180,0,0,0,0,0,1,0,0,0,2,8,0,1
181,0,0,0,0,0,1,0,0,0,2,8,1,0
182,0,0,0,0,0,1,0,0,0,3,2,0,1
183,0,0,0,0,0,1,0,0,0,3,2,1,0
184,0,0,0,0,0,1,0,0,0,3,3,0,1
185,0,0,0,0,0,1,0,0,0,3,3,1,0
186,0,0,0,0,0,1,0,0,0,3,4,0,1
