,query_number,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:,runtime
245,q_07,2,5,+UseG1GC,23.741999999999997
246,q_07,2,6,+UseParallelGC,24.41
247,q_07,2,6,+UseG1GC,23.51
248,q_08,2,2,+UseParallelGC,32.689
249,q_08,2,2,+UseG1GC,32.808
250,q_08,2,7,+UseParallelGC,32.801
251,q_08,2,7,+UseG1GC,32.53
252,q_08,2,8,+UseParallelGC,33.236
253,q_08,2,8,+UseG1GC,32.766999999999996
254,q_08,3,2,+UseParallelGC,34.403
255,q_08,3,2,+UseG1GC,33.232
256,q_08,3,3,+UseParallelGC,33.125
257,q_08,3,3,+UseG1GC,33.561
258,q_08,3,4,+UseParallelGC,33.043
259,q_08,3,4,+UseG1GC,32.905
260,q_08,2,3,+UseParallelGC,31.665
261,q_08,3,5,+UseParallelGC,32.73
262,q_08,3,5,+UseG1GC,33.721
263,q_08,3,6,+UseParallelGC,33.855
264,q_08,3,6,+UseG1GC,33.106
265,q_08,3,7,+UseParallelGC,33.059
266,q_08,3,7,+UseG1GC,33.082
267,q_08,3,8,+UseParallelGC,33.848
268,q_08,3,8,+UseG1GC,33.042
269,q_08,4,2,+UseParallelGC,33.46
270,q_08,4,2,+UseG1GC,32.605
271,q_08,2,3,+UseG1GC,32.804
272,q_08,4,3,+UseParallelGC,32.912
273,q_08,4,3,+UseG1GC,33.806
274,q_08,4,4,+UseParallelGC,32.333
275,q_08,4,4,+UseG1GC,33.361999999999995
276,q_08,4,5,+UseParallelGC,32.848
277,q_08,4,5,+UseG1GC,32.713
278,q_08,2,4,+UseParallelGC,32.248000000000005
279,q_08,2,4,+UseG1GC,32.849000000000004
280,q_08,2,5,+UseParallelGC,32.626999999999995
281,q_08,2,5,+UseG1GC,32.43
282,q_08,2,6,+UseParallelGC,32.784
283,q_08,2,6,+UseG1GC,32.866
284,q_09,2,2,+UseParallelGC,25.432
285,q_09,2,2,+UseG1GC,25.125
286,q_09,2,7,+UseParallelGC,25.84
287,q_09,2,7,+UseG1GC,24.487
288,q_09,2,8,+UseParallelGC,24.834
289,q_09,2,8,+UseG1GC,24.92
290,q_09,3,2,+UseParallelGC,24.025
291,q_09,3,2,+UseG1GC,24.726999999999997
292,q_09,3,3,+UseParallelGC,25.519000000000002
293,q_09,3,3,+UseG1GC,24.613000000000003
294,q_09,3,4,+UseParallelGC,24.986
