,query_number,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:,runtime
0,q_07,2,2,+UseParallelGC,23.537
1,q_07,2,2,+UseG1GC,21.968000000000004
2,q_07,2,7,+UseParallelGC,21.410999999999998
3,q_07,2,7,+UseG1GC,22.255
4,q_07,2,8,+UseParallelGC,21.381
5,q_07,2,8,+UseG1GC,21.279
6,q_07,3,2,+UseParallelGC,22.096999999999998
7,q_07,3,2,+UseG1GC,21.938000000000002
8,q_07,3,3,+UseParallelGC,22.026
9,q_07,3,3,+UseG1GC,21.465
10,q_07,3,4,+UseParallelGC,21.346999999999998
11,q_07,3,4,+UseG1GC,22.476
12,q_07,2,3,+UseParallelGC,22.205
13,q_07,3,5,+UseParallelGC,22.726999999999997
14,q_07,3,5,+UseG1GC,21.933000000000003
15,q_07,3,6,+UseParallelGC,22.295
16,q_07,3,6,+UseG1GC,22.073
17,q_07,3,7,+UseParallelGC,21.959
18,q_07,3,7,+UseG1GC,22.186
19,q_07,3,8,+UseParallelGC,21.908
20,q_07,3,8,+UseG1GC,22.451
21,q_07,4,2,+UseParallelGC,21.755
22,q_07,4,2,+UseG1GC,21.96
23,q_07,2,3,+UseG1GC,22.408
24,q_07,4,3,+UseParallelGC,21.68
25,q_07,4,3,+UseG1GC,21.401999999999997
26,q_07,4,4,+UseParallelGC,21.621
27,q_07,4,4,+UseG1GC,22.491
28,q_07,4,5,+UseParallelGC,22.03
29,q_07,4,5,+UseG1GC,22.159000000000002
30,q_07,4,6,+UseParallelGC,22.148000000000003
31,q_07,4,6,+UseG1GC,21.355
32,q_07,4,7,+UseParallelGC,22.741999999999997
33,q_07,4,7,+UseG1GC,21.778000000000002
34,q_07,2,4,+UseParallelGC,22.191
35,q_07,4,8,+UseParallelGC,21.158
36,q_07,4,8,+UseG1GC,21.289
37,q_07,5,2,+UseParallelGC,22.943
38,q_07,5,2,+UseG1GC,21.607
39,q_07,5,3,+UseParallelGC,21.861
40,q_07,5,3,+UseG1GC,22.069000000000003
41,q_07,5,4,+UseParallelGC,22.471
42,q_07,5,4,+UseG1GC,22.002
43,q_07,5,5,+UseParallelGC,23.578000000000003
44,q_07,5,5,+UseG1GC,22.247
45,q_07,2,4,+UseG1GC,22.098000000000003
46,q_07,5,6,+UseParallelGC,22.255
47,q_07,5,6,+UseG1GC,22.768
48,q_07,5,7,+UseParallelGC,23.052
49,q_07,5,7,+UseG1GC,23.405
50,q_07,5,8,+UseParallelGC,22.511
51,q_07,5,8,+UseG1GC,22.14
52,q_07,6,2,+UseParallelGC,22.753
53,q_07,6,2,+UseG1GC,22.713
54,q_07,6,3,+UseParallelGC,22.185
55,q_07,6,3,+UseG1GC,23.686999999999998
56,q_07,2,5,+UseParallelGC,21.622
57,q_07,6,4,+UseParallelGC,22.846
58,q_07,6,4,+UseG1GC,22.543000000000003
59,q_07,6,5,+UseParallelGC,23.154
60,q_07,6,5,+UseG1GC,22.726
61,q_07,6,6,+UseParallelGC,22.064
62,q_07,6,6,+UseG1GC,21.67
63,q_07,6,7,+UseParallelGC,22.851999999999997
64,q_07,6,7,+UseG1GC,21.538
65,q_07,6,8,+UseParallelGC,22.198
66,q_07,6,8,+UseG1GC,22.009
67,q_07,2,5,+UseG1GC,21.66
68,q_07,7,2,+UseParallelGC,22.318
69,q_07,7,2,+UseG1GC,23.301
70,q_07,7,3,+UseParallelGC,22.989
71,q_07,7,3,+UseG1GC,22.236
72,q_07,7,4,+UseParallelGC,21.737
73,q_07,7,4,+UseG1GC,21.576
74,q_07,7,5,+UseParallelGC,22.064
75,q_07,7,5,+UseG1GC,21.820999999999998
76,q_07,7,6,+UseParallelGC,22.541
77,q_07,7,6,+UseG1GC,21.554000000000002
78,q_07,2,6,+UseParallelGC,21.101999999999997
79,q_07,7,7,+UseParallelGC,21.976999999999997
80,q_07,7,7,+UseG1GC,22.355
81,q_07,7,8,+UseParallelGC,23.16
82,q_07,7,8,+UseG1GC,21.647
83,q_07,8,2,+UseParallelGC,22.802
84,q_07,8,2,+UseG1GC,21.381
85,q_07,2,6,+UseG1GC,22.488000000000003
86,q_08,2,2,+UseParallelGC,32.202
87,q_08,2,2,+UseG1GC,32.202
88,q_08,2,7,+UseParallelGC,31.054000000000002
89,q_08,2,7,+UseG1GC,31.894000000000002
90,q_08,2,8,+UseParallelGC,31.825
91,q_08,2,8,+UseG1GC,31.993000000000002
92,q_08,3,2,+UseParallelGC,31.408
93,q_08,3,2,+UseG1GC,31.758000000000003
94,q_08,3,3,+UseParallelGC,31.928
95,q_08,3,3,+UseG1GC,31.381999999999998
96,q_08,3,4,+UseParallelGC,31.851999999999997
97,q_08,3,4,+UseG1GC,31.997
98,q_08,2,3,+UseParallelGC,31.111
99,q_08,3,5,+UseParallelGC,32.08
100,q_08,3,5,+UseG1GC,31.616
101,q_08,3,6,+UseParallelGC,33.035
102,q_08,3,6,+UseG1GC,31.958000000000002
103,q_08,3,7,+UseParallelGC,31.936
104,q_08,3,7,+UseG1GC,31.831
105,q_08,3,8,+UseParallelGC,31.564
106,q_08,3,8,+UseG1GC,31.772
107,q_08,4,2,+UseParallelGC,32.236
108,q_08,4,2,+UseG1GC,31.72
109,q_08,2,3,+UseG1GC,31.105
110,q_08,4,3,+UseParallelGC,30.404
111,q_08,4,3,+UseG1GC,31.485
112,q_08,4,4,+UseParallelGC,31.1
113,q_08,4,4,+UseG1GC,31.999000000000002
114,q_08,4,5,+UseParallelGC,33.301
115,q_08,4,5,+UseG1GC,32.178000000000004
116,q_08,4,6,+UseParallelGC,31.508000000000003
117,q_08,4,6,+UseG1GC,32.506
118,q_08,4,7,+UseParallelGC,32.271
119,q_08,4,7,+UseG1GC,31.853
120,q_08,2,4,+UseParallelGC,32.178000000000004
121,q_08,4,8,+UseParallelGC,32.158
122,q_08,4,8,+UseG1GC,31.336
123,q_08,5,2,+UseParallelGC,32.415
124,q_08,5,2,+UseG1GC,32.569
125,q_08,5,3,+UseParallelGC,33.121
126,q_08,5,3,+UseG1GC,31.436
