,query_number,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:,runtime
127,q_08,5,4,+UseParallelGC,31.979
128,q_08,5,4,+UseG1GC,31.427
129,q_08,5,5,+UseParallelGC,32.004
130,q_08,5,5,+UseG1GC,31.711
131,q_08,2,4,+UseG1GC,31.037
132,q_08,5,6,+UseParallelGC,33.698
133,q_08,5,6,+UseG1GC,32.753
134,q_08,5,7,+UseParallelGC,31.215
135,q_08,5,7,+UseG1GC,33.753
136,q_08,5,8,+UseParallelGC,32.616
137,q_08,5,8,+UseG1GC,31.101
138,q_08,6,2,+UseParallelGC,31.932
139,q_08,6,2,+UseG1GC,33.488
140,q_08,6,3,+UseParallelGC,32.703
141,q_08,6,3,+UseG1GC,31.99
142,q_08,2,5,+UseParallelGC,30.225
143,q_08,6,4,+UseParallelGC,31.305
144,q_08,6,4,+UseG1GC,32.976
145,q_08,6,5,+UseParallelGC,32.944
146,q_08,6,5,+UseG1GC,32.306999999999995
147,q_08,6,6,+UseParallelGC,32.135
148,q_08,6,6,+UseG1GC,32.335
149,q_08,6,7,+UseParallelGC,32.787
150,q_08,6,7,+UseG1GC,32.195
151,q_08,6,8,+UseParallelGC,33.645
152,q_08,6,8,+UseG1GC,32.576
153,q_08,2,5,+UseG1GC,31.98
154,q_08,7,2,+UseParallelGC,31.956
155,q_08,7,2,+UseG1GC,32.11
156,q_08,7,3,+UseParallelGC,32.497
157,q_08,7,3,+UseG1GC,31.724
158,q_08,7,4,+UseParallelGC,32.159
159,q_08,7,4,+UseG1GC,33.343
160,q_08,7,5,+UseParallelGC,31.24
161,q_08,7,5,+UseG1GC,33.349000000000004
162,q_08,7,6,+UseParallelGC,31.818
163,q_08,7,6,+UseG1GC,32.284
164,q_08,2,6,+UseParallelGC,31.787
165,q_08,7,7,+UseParallelGC,31.816999999999997
166,q_08,7,7,+UseG1GC,32.046
167,q_08,7,8,+UseParallelGC,33.15
168,q_08,7,8,+UseG1GC,33.906
169,q_08,8,2,+UseParallelGC,32.552
170,q_08,8,2,+UseG1GC,32.619
171,q_08,2,6,+UseG1GC,31.291
172,q_09,2,2,+UseParallelGC,23.695999999999998
173,q_09,2,2,+UseG1GC,22.515
174,q_09,2,7,+UseParallelGC,22.818
175,q_09,2,7,+UseG1GC,22.085
176,q_09,2,8,+UseParallelGC,22.396
177,q_09,2,8,+UseG1GC,21.963
178,q_09,3,2,+UseParallelGC,22.831
179,q_09,3,2,+UseG1GC,22.325
180,q_09,3,3,+UseParallelGC,22.076999999999998
181,q_09,3,3,+UseG1GC,23.057
182,q_09,3,4,+UseParallelGC,22.361
183,q_09,3,4,+UseG1GC,21.68
184,q_09,2,3,+UseParallelGC,22.744
185,q_09,3,5,+UseParallelGC,22.026999999999997
186,q_09,3,5,+UseG1GC,22.195999999999998
187,q_09,3,6,+UseParallelGC,21.838
188,q_09,3,6,+UseG1GC,22.32
189,q_09,3,7,+UseParallelGC,22.133000000000003
190,q_09,3,7,+UseG1GC,23.837
191,q_09,3,8,+UseParallelGC,22.846
192,q_09,3,8,+UseG1GC,22.497
193,q_09,4,2,+UseParallelGC,22.61
194,q_09,4,2,+UseG1GC,22.730999999999998
195,q_09,2,3,+UseG1GC,22.426
196,q_09,4,3,+UseParallelGC,22.651
197,q_09,4,3,+UseG1GC,22.073
198,q_09,4,4,+UseParallelGC,22.593000000000004
199,q_09,4,4,+UseG1GC,23.8
200,q_09,4,5,+UseParallelGC,23.259
201,q_09,4,5,+UseG1GC,22.361
202,q_09,4,6,+UseParallelGC,22.09
203,q_09,4,6,+UseG1GC,21.912
204,q_09,4,7,+UseParallelGC,23.665
205,q_09,4,7,+UseG1GC,22.947
206,q_09,2,4,+UseParallelGC,22.634
207,q_09,4,8,+UseParallelGC,22.807
208,q_09,4,8,+UseG1GC,22.304000000000002
209,q_09,5,2,+UseParallelGC,22.658
210,q_09,5,2,+UseG1GC,22.949
211,q_09,5,3,+UseParallelGC,22.619
212,q_09,5,3,+UseG1GC,22.588
213,q_09,5,4,+UseParallelGC,22.107
214,q_09,5,4,+UseG1GC,21.95
215,q_09,5,5,+UseParallelGC,24.891
216,q_09,5,5,+UseG1GC,22.669
217,q_09,2,4,+UseG1GC,22.23
218,q_09,5,6,+UseParallelGC,24.138
219,q_09,5,6,+UseG1GC,23.059
220,q_09,5,7,+UseParallelGC,22.781
221,q_09,5,7,+UseG1GC,22.044
222,q_09,5,8,+UseParallelGC,23.375999999999998
223,q_09,5,8,+UseG1GC,22.384
224,q_09,6,2,+UseParallelGC,22.215999999999998
225,q_09,6,2,+UseG1GC,22.796
226,q_09,6,3,+UseParallelGC,23.912
227,q_09,6,3,+UseG1GC,21.985
228,q_09,2,5,+UseParallelGC,22.529
229,q_09,6,4,+UseParallelGC,22.206999999999997
230,q_09,6,4,+UseG1GC,22.177
231,q_09,6,5,+UseParallelGC,22.229
232,q_09,6,5,+UseG1GC,22.836
233,q_09,6,6,+UseParallelGC,21.802
234,q_09,6,6,+UseG1GC,22.063000000000002
235,q_09,6,7,+UseParallelGC,23.194000000000003
236,q_09,6,7,+UseG1GC,22.669
237,q_09,6,8,+UseParallelGC,22.212
238,q_09,6,8,+UseG1GC,22.89
239,q_09,2,5,+UseG1GC,22.404
240,q_09,7,2,+UseParallelGC,22.406
241,q_09,7,2,+UseG1GC,22.079
242,q_09,7,3,+UseParallelGC,22.314
243,q_09,7,3,+UseG1GC,22.872
244,q_09,7,4,+UseParallelGC,22.77
245,q_09,7,4,+UseG1GC,22.516
246,q_09,7,5,+UseParallelGC,22.149
247,q_09,7,5,+UseG1GC,22.381999999999998
248,q_09,7,6,+UseParallelGC,22.615
249,q_09,7,6,+UseG1GC,22.07
250,q_09,2,6,+UseParallelGC,22.820999999999998
251,q_09,7,7,+UseParallelGC,22.941
252,q_09,7,7,+UseG1GC,22.826
253,q_09,7,8,+UseParallelGC,22.575
254,q_09,7,8,+UseG1GC,22.737
255,q_09,8,2,+UseParallelGC,22.704
256,q_09,8,2,+UseG1GC,22.268
257,q_09,2,6,+UseG1GC,22.537
